County,Region
AVON,South West
BATH AND NORTH EAST SOMERSET,South West
BEDFORD,East of England
BEDFORDSHIRE,East of England
BERKSHIRE,South East
BLACKBURN WITH DARWEN,North West
BLACKPOOL,North West
BLAENAU GWENT,Wales
BOURNEMOUTH,South West
"BOURNEMOUTH, CHRISTCHURCH AND POOLE",South West
BRACKNELL FOREST,South East
BRIDGEND,Wales
BRIGHTON AND HOVE,South East
BUCKINGHAMSHIRE,South East
CAERPHILLY,Wales
CAMBRIDGESHIRE,East of England
CARDIFF,Wales
CARMARTHENSHIRE,Wales
CENTRAL BEDFORDSHIRE,East of England
CEREDIGION,Wales
CHESHIRE,North West
CHESHIRE EAST,North West
CHESHIRE WEST AND CHESTER,North West
CITY OF BRISTOL,South West
CITY OF DERBY,East Midlands
CITY OF KINGSTON UPON HULL,Yorkshire and the Humber
CITY OF NOTTINGHAM,East Midlands
CITY OF PETERBOROUGH,East of England
CITY OF PLYMOUTH,South West
CLEVELAND,North East
CLWYD,Wales
CONWY,Wales
CORNWALL,South West
COUNTY DURHAM,North East
CUMBERLAND,North West
CUMBRIA,North West
DARLINGTON,North East
DENBIGHSHIRE,Wales
DERBYSHIRE,East Midlands
DEVON,South West
DORSET,South West
DURHAM,North East
DYFED,Wales
EAST RIDING OF YORKSHIRE,Yorkshire and the Humber
EAST SUSSEX,South East
ESSEX,East of England
FLINTSHIRE,Wales
GLOUCESTERSHIRE,South West
GREATER LONDON,London
GREATER MANCHESTER,North West
GWENT,Wales
GWYNEDD,Wales
HALTON,North West
HAMPSHIRE,South East
HARTLEPOOL,North East
HEREFORD AND WORCESTER,West Midlands
HEREFORDSHIRE,West Midlands
HERTFORDSHIRE,East of England
HUMBERSIDE,Yorkshire and the Humber
ISLE OF ANGLESEY,Wales
ISLE OF WIGHT,South East
ISLES OF SCILLY,South West
KENT,South East
LANCASHIRE,North West
LEICESTER,East Midlands
LEICESTERSHIRE,East Midlands
LINCOLNSHIRE,East Midlands
LUTON,East of England
MEDWAY,South East
MERSEYSIDE,North West
MERTHYR TYDFIL,Wales
MID GLAMORGAN,Wales
MIDDLESBROUGH,North East
MILTON KEYNES,South East
MONMOUTHSHIRE,Wales
NEATH PORT TALBOT,Wales
NEWPORT,Wales
NORFOLK,East of England
NORTH EAST LINCOLNSHIRE,Yorkshire and the Humber
NORTH LINCOLNSHIRE,Yorkshire and the Humber
NORTH NORTHAMPTONSHIRE,East Midlands
NORTH SOMERSET,South West
NORTH YORKSHIRE,Yorkshire and the Humber
NORTHAMPTONSHIRE,East Midlands
NORTHUMBERLAND,North East
NOTTINGHAMSHIRE,East Midlands
OXFORDSHIRE,South East
PEMBROKESHIRE,Wales
POOLE,South West
PORTSMOUTH,South East
POWYS,Wales
READING,South East
REDCAR AND CLEVELAND,North East
RHONDDA CYNON TAFF,Wales
RUTLAND,East Midlands
SHROPSHIRE,West Midlands
SLOUGH,South East
SOMERSET,South West
SOUTH GLAMORGAN,Wales
SOUTH GLOUCESTERSHIRE,South West
SOUTH YORKSHIRE,Yorkshire and the Humber
SOUTHAMPTON,South East
SOUTHEND-ON-SEA,East of England
STAFFORDSHIRE,West Midlands
STOCKTON-ON-TEES,North East
STOKE-ON-TRENT,West Midlands
SUFFOLK,East of England
SURREY,South East
SWANSEA,Wales
SWINDON,South West
THAMESDOWN,South West
THE VALE OF GLAMORGAN,Wales
THURROCK,East of England
TORBAY,South West
TORFAEN,Wales
TYNE AND WEAR,North East
WARRINGTON,North West
WARWICKSHIRE,West Midlands
WEST BERKSHIRE,South East
WEST GLAMORGAN,Wales
WEST MIDLANDS,West Midlands
WEST NORTHAMPTONSHIRE,East Midlands
WEST SUSSEX,South East
WEST YORKSHIRE,Yorkshire and the Humber
WESTMORLAND AND FURNESS,North West
WILTSHIRE,South West
WINDSOR AND MAIDENHEAD,South East
WOKINGHAM,South East
WORCESTERSHIRE,West Midlands
WREKIN,West Midlands
WREXHAM,Wales
YORK,Yorkshire and the Humber
